title,company,location,link
데이터 사이언티스트를 지향하는 데이터 엔지니어 모집,"
카카오",성남 판교역,https://kr.indeed.com/viewjob?jk=385c58c7ced1d77b
[TmaxBI/기술] 빅데이터 플랫폼 QA,"
티맥스소프트",성남 분당구,https://kr.indeed.com/viewjob?jk=f37867a88401d21f
[웹젠] 보안솔루션 운영(경력),"
웹젠",성남 분당구,https://kr.indeed.com/viewjob?jk=01d70f598a410bbe
시스템 엔지니어링,"
NHN",성남 판교역,https://kr.indeed.com/viewjob?jk=5cb14c0712a6c4c1
[L'Oreal Korea] IT Business Analyst,"
L'Oreal",서울,https://kr.indeed.com/viewjob?jk=db26147e9223e38a
테크빌더팀 웹어플리케이션 개발자 (백앤드/프론트앤드),"
Nexon",성남 분당구,https://kr.indeed.com/viewjob?jk=9d9f5827c98272c9
[EY한영] 금융감사본부 Data Analytics 전문 경력직 모집,"
Ernst & Young",대한민국,https://kr.indeed.com/viewjob?jk=e934bb33ef71dacb
경험최적화파트 - 머신러닝 엔지니어,"
Nexon",성남 분당구,https://kr.indeed.com/viewjob?jk=7bf179a290a157b2
AI 분야 경력,"
LG CNS",서울특별시,https://kr.indeed.com/viewjob?jk=c8bf4fa58999927f
데이터 사이언스 전문가 및 머신러닝 전문가 모집,"
카카오",성남 판교역,https://kr.indeed.com/viewjob?jk=85929aac498299cc
"Field Applications Engineer, Audio","
Dolby",서울,https://kr.indeed.com/viewjob?jk=7cb5c3076d1701db
머신러닝 엔지니어 모집,"
카카오",성남 판교역,https://kr.indeed.com/viewjob?jk=269f9a96319ef19a
프랭클린템플턴투신운용 Junior Trader (Quant base 필수),"
프랭클린템플턴투신",대한민국,https://kr.indeed.com/viewjob?jk=4adac8923476d038
프론트앤드 개발,"
Nexon",성남 분당구,https://kr.indeed.com/viewjob?jk=2755f5a6205a5c3d
스크립트 개발 프로그래머,"
Nexon",성남 분당구,https://kr.indeed.com/viewjob?jk=d56db98820a1324c
[KSTEC] 통계/Analytics 경력사원,"
지식시스템",성남 분당구,https://kr.indeed.com/viewjob?jk=8cf4e4659595a3b6
[공통기술부문] AI / ML 엔지니어 (3년 이상),"
우아한 형제들",서울 송파구,https://kr.indeed.com/viewjob?jk=beaf31828719882c
[신규프로젝트][AION2] 캐릭터 리거 모집,"
엔씨소프트",성남 판교역,https://kr.indeed.com/viewjob?jk=fd1696eff42ae195
[신규프로젝트] 서버 프로그래머 모집,"
엔씨소프트",성남 판교역,https://kr.indeed.com/viewjob?jk=c31de64f3670c8ed
글로벌 소셜카지노 부문 사업PM,"
네오위즈",대한민국,https://kr.indeed.com/viewjob?jk=4665562997b87ff0
게임 런처 개발,"
Nexon",성남 분당구,https://kr.indeed.com/viewjob?jk=0b05f7fff851371a
게임 데이터 분석가,"
쿡앱스",성남 분당구,https://kr.indeed.com/viewjob?jk=5a299cf580491445
TOAST Cloud 운영 및 기술지원,"
NHN",성남 판교역,https://kr.indeed.com/viewjob?jk=ad07d6a330fb619a
[AI R&D] 프론트엔드 개발 수시 모집,"
엔씨소프트",성남 판교역,https://kr.indeed.com/viewjob?jk=1ea1c58fe11f9df4
Software Development Engineer,"
Mentor Graphics (Korea) LLC",경기도 성남,https://kr.indeed.com/viewjob?jk=914578ba5310e818
보안 모니터링 시스템 개발 및 운영 담당자 모집,"
카카오",성남 판교역,https://kr.indeed.com/viewjob?jk=d13fce11058e6cf1
[KSTEC] 2021년 경력 사원 (SW개발자),"
지식시스템",성남 분당구,https://kr.indeed.com/viewjob?jk=7dc860cc05850a5b
데이터 인프라 담당자 모집,"
카카오",성남 판교역,https://kr.indeed.com/viewjob?jk=6fe5311eacbea17a
Field Data Scientist,"
Success Korea",경기도,https://kr.indeed.com/viewjob?jk=2892c67308e87f01
(주)신세계아이앤씨 경력사원 상시,"
신세계아이앤씨",서울 중구,https://kr.indeed.com/viewjob?jk=b5b88516a299bbb2
[AI R&D] 데이터 엔지니어 수시 모집,"
엔씨소프트",성남 판교역,https://kr.indeed.com/viewjob?jk=1a5148d3f9869622
Field Application Engineer,"
에이에스엠엘코리아",경기도 화성,https://kr.indeed.com/viewjob?jk=1f9b74d4ce4bfeee
Perception Software Engineer - Autonomous Vehicles,"
NVIDIA",대한민국,https://kr.indeed.com/viewjob?jk=94e6b51a16f4a0f6
Linux/Python/PHP/MySQL/백엔드 정규직 경력,"
일루미나리안",용인 보정동,https://kr.indeed.com/viewjob?jk=04d685fc70b67d4e
